Número de Serie (Número de serie),ID (Número de serie),Nombre (en la base de datos),Cantidad actual,Ubicado en almacén,Tiene accesorios,Códigos QR,Estructura de la carpeta (Carpeta),Tipo de articulo (Carpeta),Código,Nombre (en la base de datos) 2,Tipo (posición/case/set),Nota externa
F5KQ40GGF694,78,Computadora Apple MacPro 2013,4,,1,1000555,Hardware/Computadoras,Equipos,728,Computadora Apple MacPro 2013,Articulo," 

 

Processor : 2.7 GHz 12-Core Intel Xeon E5

Memory : 64GB 1866 MHz DDR3

Graphics : AMD FirePro D700 6GB

 

macOS Mojave"
,,Cable Network E-Sata,1,07 E,0,1000563,Cables/Cables Network,Equipos,734,Cable Network E-Sata,Articulo,
,,Power AC Sonnet Qi0 AC,1,,0,1000565,Power/Alimentadores AC/Asignados,Equipos,736,Power AC Sonnet Qi0 AC,Articulo,
,,Pro FX 120 Audio Channel Mixer,1,,1,1000566,Consola/Audio,Equipos,737,Pro FX 120 Audio Channel Mixer,Articulo,
,,Calibrador Display Nec,1,,0,1000567,Accesorios/Accesorios Color,Equipos,738,Calibrador Display Nec,Articulo,
,,Mouse Wireless Apple,2,,0,1000568,Hardware/Mouses,Equipos,739,Mouse Wireless Apple,Articulo,A1657
,,Plate Nebtek,1,,0,1000569,Accesorios/Plates,Equipos,740,Plate Nebtek,Articulo,
,,Plate Dolgin,1,,0,1000570,Accesorios/Plates,Equipos,741,Plate Dolgin,Articulo,
,,"Adaptador Disco Duro 2.5-3"" Orico",2,,0,1000571,Accesorios,Equipos,742,"Adaptador Disco Duro 2.5-3"" Orico",Articulo,
,,Foco,2,,0,1000572,Accesorios,Equipos,743,Foco,Articulo,
,,Puerto Load Balance Broadband TP-Link,2,,0,1000577,Accesorios/Accesorios Network,Equipos,748,Puerto Load Balance Broadband TP-Link,Articulo,
,,Marco Monitor Pequeño,1,,0,1000578,Monitores/Accesorios Monitores,Equipos,749,Marco Monitor Pequeño,Articulo,
HUJ925C0U2,73,Tape Drive LTO 7 HP Ultrium 15000,1,,1,1000579,Archiving/LTO,Equipos,750,Tape Drive LTO 7 HP Ultrium 15000,Articulo,
39043752,69,Color Panel Tangent Element  Bt,1,COLOR LAB,1,1000583,Consola/Video,Equipos,754,Color Panel Tangent Element  Bt,Articulo,part of a bundle
40023470,70,Color Panel Tangent Element  Mf,1,COLOR LAB,1,1000585,Consola/Video,Equipos,755,Color Panel Tangent Element  Mf,Articulo,part of a bundle
40014362,71,Color Panel Tangent Element Tk,1,COLOR LAB,1,1000587,Consola/Video,Equipos,756,Color Panel Tangent Element Tk,Articulo,part of a bundle
39033513,72,Color Panel Tangent Element Kb,1,COLOR LAB,1,1000589,Consola/Video,Equipos,757,Color Panel Tangent Element Kb,Articulo,part of a bundle
,,Monitor Apple Thunderbolt Display,2,,0,1000592,Monitores,Equipos,758,Monitor Apple Thunderbolt Display,Articulo,
F0T1075018KHTCYAF,86,Teclado Apple Numeric (Negro),4,,0,1000593,Hardware/Teclados,Equipos,759,Teclado Apple Numeric (Negro),Articulo,
F0T105501DYHTCYAT,87,Teclado Apple Numeric (Negro),4,,0,1000593,Hardware/Teclados,Equipos,759,Teclado Apple Numeric (Negro),Articulo,
F0T0306000JHTCYAT,88,Teclado Apple Numeric (Negro),4,,0,1000593,Hardware/Teclados,Equipos,759,Teclado Apple Numeric (Negro),Articulo,
F0T107200SRHTCYAT,89,Teclado Apple Numeric (Negro),4,,0,1000593,Hardware/Teclados,Equipos,759,Teclado Apple Numeric (Negro),Articulo,
,,Mouse AV,3,,0,1000594,Hardware/Mouses,Equipos,760,Mouse AV,Articulo,
,,Mouse Polaroid,1,,0,1000595,Hardware/Mouses,Equipos,761,Mouse Polaroid,Articulo,
,,Enclosure Sonnet Echo Express III-D Desktop Thunderbolt 2 Expansion,1,STORAGE 01,1,1000596,Archiving/Enclosure,Equipos,762,Enclosure Sonnet Echo Express III-D Desktop Thunderbolt 2 Expansion,Articulo,
,,"Televisor LG OLED 55""",1,DAILIES LAB,1,1000598,Monitores/Televisores,Equipos,764,"Televisor LG OLED 55""",Articulo,
204442500DBKP0918,184,"Mackie Studio Monitors 3"" B&G (CR3)",1,,0,1000599,Accesorios/Accesorios Audio,Equipos,765,"Mackie Studio Monitors 3"" B&G (CR3)",Articulo,
2130RWRFCQ2Y7,74,Server Synology RackStation RS1221+ 8-Bay NAS,1,DAILIES LAB,1,1000600,Archiving/Server,Equipos,766,Server Synology RackStation RS1221+ 8-Bay NAS,Articulo,
,,Disco Duro Lacie 6TB,1,,0,1000601,Archiving/Hardrives,Equipos,767,Disco Duro Lacie 6TB,Articulo,
,,Proyector JVC D-ILA,1,,0,1000603,Accesorios,Equipos,768,Proyector JVC D-ILA,Articulo,
,,Quemadora de Blu-Ray,1,,0,1000604,Accesorios,Equipos,769,Quemadora de Blu-Ray,Articulo,
,,"Televisor Samsung 42""",1,COLOR LAB,1,1000606,Monitores/Televisores,Equipos,771,"Televisor Samsung 42""",Articulo,
,,Hub USB 3.0 Anker,1,08 D,0,1000607,Accesorios/Accesorios Data,Equipos,772,Hub USB 3.0 Anker,Articulo,
,,Adaptador Apple Thunderbolt 2 - Thunderbolt 3,7,08 D,0,1000608,Accesorios/Accesorios Data,Equipos,773,Adaptador Apple Thunderbolt 2 - Thunderbolt 3,Articulo,
C02PW161FY14,75,"Computadora Apple iMac (A) 27"" Late 2014",1,,1,1000609,Hardware/Computadoras,Equipos,774,"Computadora Apple iMac (A) 27"" Late 2014",Articulo," 

Processor : 4 GHz Quad-Core Intel Core i7

Memory : 32 GB 1600 MHz DDR3

Graphics : AMS Radeon R9 M295X 4 GB

 

macOS Big Sur"
,,Sandbags,1,,0,1000611,Gripería/Accesorios Gripería,Equipos,775,Sandbags,Articulo,
,,Mouse Pad Argom Tech,4,,0,1000626,Accesorios,Equipos,776,Mouse Pad Argom Tech,Articulo,
WJ0081000118,90,Hub Promise TD-300 Dock Station,1,08 D,1,1000627,Accesorios/Accesorios Data,Equipos,777,Hub Promise TD-300 Dock Station,Articulo,+power +adaptador
C02FRADXMD6R,92,"Computadora Apple Macbook Pro 2021 16"" (E)",1,,1,1000630,Hardware/Computadoras,Equipos,778,"Computadora Apple Macbook Pro 2021 16"" (E)",Articulo," 

Processor : 2.4 GHz 8-Core Intel Core i9

Memory : 32 GB 2667 MHz DDR 4

Graphics : Intel UHD Graphics 630 1536 MB

 

macOS Big Sur"
2978000019,128,Enclosure OWC 8 Bay Thunderbolt 3,2,STORAGE 01,1,1000633,Archiving/Enclosure,Equipos,780,Enclosure OWC 8 Bay Thunderbolt 3,Articulo,
2978000906,129,Enclosure OWC 8 Bay Thunderbolt 3,2,STORAGE 01,1,1000633,Archiving/Enclosure,Equipos,780,Enclosure OWC 8 Bay Thunderbolt 3,Articulo,
ABA03KB77US00146,93,Teclado Powzan Numeric KB770,3,,0,1000634,Hardware/Teclados,Equipos,781,Teclado Powzan Numeric KB770,Articulo,
ABA03KB77US00141,94,Teclado Powzan Numeric KB770,3,,0,1000634,Hardware/Teclados,Equipos,781,Teclado Powzan Numeric KB770,Articulo,
ABA03KB77US00151,95,Teclado Powzan Numeric KB770,3,,0,1000634,Hardware/Teclados,Equipos,781,Teclado Powzan Numeric KB770,Articulo,
,,Bulto Gator Soft Case,2,01 D,0,1000638,Maletas/Cases/Bultos/Bultos,Equipos,782,Bulto Gator Soft Case,Articulo,
,,Bulto FSI Flanders Monitor,2,01 B,0,1000639,Maletas/Cases/Bultos/Bultos,Equipos,783,Bulto FSI Flanders Monitor,Articulo,
,,Plate Monitor Impact ME-108P,2,,0,1000640,Accesorios/Plates,Equipos,784,Plate Monitor Impact ME-108P,Articulo,
,,Adaptador Uni USBC - Network,1,7C,0,1000641,Accesorios/Accesorios Network,Equipos,785,Adaptador Uni USBC - Network,Articulo,
,,Lector Smartech SSD- USB 3.0,3,7C,0,1000642,Lectores,Equipos,786,Lector Smartech SSD- USB 3.0,Articulo,
,,"Cable Data USB2 - Lightning 9.5""",4,08 E,0,1000648,Cables/Cables Data,Equipos,792,"Cable Data USB2 - Lightning 9.5""",Articulo,
,,Sunhood Atomos,2,,0,1000651,Monitores/Accesorios Monitores,Equipos,795,Sunhood Atomos,Articulo,
,,"Battery Plate Gold Mount Sumo 19""",2,,0,1000652,Monitores/Accesorios Monitores,Equipos,796,"Battery Plate Gold Mount Sumo 19""",Articulo,
,,"Power AC Sumo 19"" 4 Pins",4,,0,1000653,Power/Alimentadores AC/Asignados,Equipos,797,"Power AC Sumo 19"" 4 Pins",Articulo,
1929990,190,Convertidor Video Ultrastudio Mini Recorder Blackmagic,1,,0,1000655,Capture & Playback,Equipos,799,Convertidor Video Ultrastudio Mini Recorder Blackmagic,Articulo,
,,Estuche Tela  Negro (Small),5,,0,1000657,Maletas/Cases/Bultos/Estuches,Equipos,801,Estuche Tela  Negro (Small),Articulo,
,,Regleta Cyber Power,1,02 A,0,1000662,Power/Regletas,Equipos,806,Regleta Cyber Power,Articulo,
,,Adaptador Eléctrico 6 en 1,1,,0,1000663,Accesorios/Accesorios Eléctricos,Equipos,807,Adaptador Eléctrico 6 en 1,Articulo,
,,Adaptador Eléctrico 3 en 1,2,,0,1000664,Accesorios/Accesorios Eléctricos,Equipos,808,Adaptador Eléctrico 3 en 1,Articulo,
,,Clamp Small,2,,0,1000665,Gripería/Accesorios Gripería,Equipos,809,Clamp Small,Articulo,
,,Spring Clamps (Medium),3,,0,1000666,Gripería/Accesorios Gripería,Equipos,810,Spring Clamps (Medium),Articulo,
,,Clamp Spring (Small),1,,0,1000667,Gripería/Accesorios Gripería,Equipos,811,Clamp Spring (Small),Articulo,
,,Batería Watson Pro 14.4V 160Wh (Gold Mount),7,,0,1000668,Power/Baterías,Equipos,812,Batería Watson Pro 14.4V 160Wh (Gold Mount),Articulo,
2020110468,96,Cargador Batería Watson Pro C-AM-4E Quad (Gold Mount),3,,1,1000669,Power/Cargadores,Equipos,813,Cargador Batería Watson Pro C-AM-4E Quad (Gold Mount),Articulo,+Power
2020110490,97,Cargador Batería Watson Pro C-AM-4E Quad (Gold Mount),3,,1,1000669,Power/Cargadores,Equipos,813,Cargador Batería Watson Pro C-AM-4E Quad (Gold Mount),Articulo,+Power
2020110488,98,Cargador Batería Watson Pro C-AM-4E Quad (Gold Mount),3,,1,1000669,Power/Cargadores,Equipos,813,Cargador Batería Watson Pro C-AM-4E Quad (Gold Mount),Articulo,+Power
,,Bulto Though Built Small,2,08 F,0,1000673,Maletas/Cases/Bultos/Bultos,Equipos,814,Bulto Though Built Small,Articulo,
3B1812X23641,101,UPS APC PRO 1500 S,1,,0,1000676,Power/UPS,Equipos,815,UPS APC PRO 1500 S,Articulo,
,,Rods 12”,1,,0,1000678,Monitores/Accesorios Monitores,Equipos,816,Rods 12”,Articulo,
,,Teclado Apple Numeric (Blanco),1,,0,1000679,Hardware/Teclados,Equipos,817,Teclado Apple Numeric (Blanco),Articulo,
,,Estuche Teclado Baval,1,,0,1000680,Maletas/Cases/Bultos/Estuches,Equipos,818,Estuche Teclado Baval,Articulo,
,,Bulto Ikan Small,1,07 F,0,1000681,Maletas/Cases/Bultos/Bultos,Equipos,819,Bulto Ikan Small,Articulo,
,,Bulto Cinebag Life On Location,1,06 E,0,1000682,Maletas/Cases/Bultos/Bultos,Equipos,820,Bulto Cinebag Life On Location,Articulo,
,,Sunhood Ilocker,1,,0,1000683,Monitores/Accesorios Monitores,Equipos,821,Sunhood Ilocker,Articulo,
,,Sunhood Wooden Camera,3,,0,1000684,Monitores/Accesorios Monitores,Equipos,822,Sunhood Wooden Camera,Articulo,
20-01049,142,"Monitor Convergent Odyssey 7Q 7""",2,,0,1000685,Monitores,Equipos,823,"Monitor Convergent Odyssey 7Q 7""",Articulo,
20-01776,144,"Monitor Convergent Odyssey 7Q 7""",2,,0,1000685,Monitores,Equipos,823,"Monitor Convergent Odyssey 7Q 7""",Articulo,
,,Director’s Cage Wooden Camera,2,,0,1000686,Monitores/Accesorios Monitores,Equipos,824,Director’s Cage Wooden Camera,Articulo,+Straps
UML203931848,102,Monitor PC ViewSonic,1,,0,1000687,Monitores,Equipos,825,Monitor PC ViewSonic,Articulo,
,,Case Pelican 1560 (Black),1,,0,1000689,Maletas/Cases/Bultos/Cases,Equipos,826,Case Pelican 1560 (Black),Articulo,
282003003036,103,Router Network Ruckus,2,,1,1000690,Wireless Systems,Equipos,827,Router Network Ruckus,Articulo,+Power
282003002974,104,Router Network Ruckus,2,,1,1000690,Wireless Systems,Equipos,827,Router Network Ruckus,Articulo,+Power
65404472,105,Router Teradek Serv Pro,2,,1,1000693,Wireless Systems,Equipos,828,Router Teradek Serv Pro,Articulo,+Power
65404506,106,Router Teradek Serv Pro,2,,1,1000693,Wireless Systems,Equipos,828,Router Teradek Serv Pro,Articulo,+Power
2205OU3002336,107,Router TP-Link AC1750 Wi-Fi Extender,1,,1,1000696,Wireless Systems,Equipos,829,Router TP-Link AC1750 Wi-Fi Extender,Articulo,+Power
200900107901633,109,Router Maxell Rabbit Wireless,1,,1,1000700,Wireless Systems,Equipos,831,Router Maxell Rabbit Wireless,Articulo,+Power
05002448,110,Router Repeater Teradek Link,4,,1,1000702,Wireless Systems,Equipos,832,Router Repeater Teradek Link,Articulo,+Power
05002243,111,Router Repeater Teradek Link,4,,1,1000702,Wireless Systems,Equipos,832,Router Repeater Teradek Link,Articulo,+Power
05002389,112,Router Repeater Teradek Link,4,,1,1000702,Wireless Systems,Equipos,832,Router Repeater Teradek Link,Articulo,+Power
05002422,113,Router Repeater Teradek Link,4,,1,1000702,Wireless Systems,Equipos,832,Router Repeater Teradek Link,Articulo,+Power
3UJBOC5YA09A8,116,Switch Netgear ProSafe GS108PE Network,1,,1,1000710,Wireless Systems,Equipos,834,Switch Netgear ProSafe GS108PE Network,Articulo,+Power
2197086020295,117,Switch TP-Link 8Port Desktop,1,,0,1000712,Wireless Systems,Equipos,835,Switch TP-Link 8Port Desktop,Articulo,+Power
,,Power AC Ruckus Router Network,3,,0,1000714,Power/Alimentadores AC/Asignados,Equipos,836,Power AC Ruckus Router Network,Articulo,
,,Power AC Netgear ProSafe GS108PE,1,,0,1000715,Power/Alimentadores AC/Asignados,Equipos,837,Power AC Netgear ProSafe GS108PE,Articulo,
0196601449,147,Transmisor Teradek Bolt 1000 TX,2,,0,1000718,Wireless Systems,Equipos,840,Transmisor Teradek Bolt 1000 TX,Articulo,
0196602164,148,Transmisor Teradek Bolt 1000 TX,2,,0,1000718,Wireless Systems,Equipos,840,Transmisor Teradek Bolt 1000 TX,Articulo,
,,Gold Mount Monaural Bateria RX,2,,0,1000719,Accesorios,Equipos,841,Gold Mount Monaural Bateria RX,Articulo,
G2031,203,Ventilador AC Infinity Rack,1,,1,1000721,Accesorios,Equipos,843,Ventilador AC Infinity Rack,Articulo,+Power + Cable de Medidor de Temperatura
7604893,187,Interface Video BlackMagic Smart Videohub 12x12,1,,1,1000722,Capture & Playback,Equipos,844,Interface Video BlackMagic Smart Videohub 12x12,Articulo,+Power
,,Radio 2Com Wired Talkback Main Station,1,,1,1000723,Accesorios/Accesorios Audio,Equipos,845,Radio 2Com Wired Talkback Main Station,Articulo,
,,Radio 2Com Wired Talkback Receiver,1,,0,1000724,Accesorios/Accesorios Audio,Equipos,846,Radio 2Com Wired Talkback Receiver,Articulo,
Y82Y4UT048EAB9,118,Interface Audio Focusrite Scarlett,1,,0,1000725,Capture & Playback,Equipos,847,Interface Audio Focusrite Scarlett,Articulo,
10330601M,119,Interface Video AJA HD/SD SYNC Generator,1,,0,1000727,Capture & Playback,Equipos,848,Interface Video AJA HD/SD SYNC Generator,Articulo,+Power
XT008945,120,Interface Video AJA ioXT,2,,1,1000729,Capture & Playback,Equipos,849,Interface Video AJA ioXT,Articulo,+Power
XT012966,121,Interface Video AJA ioXT,2,,1,1000729,Capture & Playback,Equipos,849,Interface Video AJA ioXT,Articulo,+Power
,,Interface Video Decimator Dmon-Quad,1,,1,1000732,Capture & Playback,Equipos,850,Interface Video Decimator Dmon-Quad,Articulo,+Power
61947000789,122,Interface Video In2Core QOD+,1,,1,1000733,Capture & Playback,Equipos,851,Interface Video In2Core QOD+,Articulo,+Power +Bandeja
S3PJNF0JA25912L,124,Disco Duro Samsung 850 EVO 1TB,1,,0,1000737,Archiving/Hardrives,Equipos,853,Disco Duro Samsung 850 EVO 1TB,Articulo,
S3Z8NB1KB44055F,125,Disco Duro Samsung 860 EVO 1TB,1,,0,1000739,Archiving/Hardrives,Equipos,854,Disco Duro Samsung 860 EVO 1TB,Articulo,
S5G8NS0R204274B,126,Disco Duro Samsung 60 PRO 1TB,2,,0,1000741,Archiving/Hardrives,Equipos,855,Disco Duro Samsung 60 PRO 1TB,Articulo,
S5G8NS0N700445Y,127,Disco Duro Samsung 60 PRO 1TB,2,,0,1000741,Archiving/Hardrives,Equipos,855,Disco Duro Samsung 60 PRO 1TB,Articulo,
,,Disco Duro Convergent Design SSD Media 512 GB,2,,0,1000744,Archiving/Hardrives,Equipos,856,Disco Duro Convergent Design SSD Media 512 GB,Articulo,
,,Cable Network Cat 7 25ft,5,07 E,0,1000745,Cables/Cables Network,Equipos,857,Cable Network Cat 7 25ft,Articulo,
,,Cable Network Cat 7 Tela 50ft,1,04 A,0,1000746,Cables/Cables Network,Equipos,858,Cable Network Cat 7 Tela 50ft,Articulo,
,,Cable Network Cat 5E 3ft,2,07 E,0,1000747,Cables/Cables Network,Equipos,859,Cable Network Cat 5E 3ft,Articulo,
,,Cable Data Thunderbolt 2 - USB3,2,08 E,0,1000749,Cables/Cables Data,Equipos,861,Cable Data Thunderbolt 2 - USB3,Articulo,
,,Audífonos Genéricos B&R,1,,0,1000750,Accesorios/Accesorios Audio,Equipos,862,Audífonos Genéricos B&R,Articulo,
,,Panel Pro X 16 Entradas,1,,0,1000751,Accesorios,Equipos,863,Panel Pro X 16 Entradas,Articulo,"(x7) Entradas BNC

(x3) Entradas HDMI

(x1) Entrada USB A 3.0

(x1) Entrada USB A 2.0

(x1) Network

(x1) Tapita

(x1) Entrada XLR Macho

(x1) Entrada XLR Mujer"
,,Panel Cepillo,1,,0,1000752,Accesorios,Equipos,864,Panel Cepillo,Articulo,
,,Panel 16 Entradas,1,,0,1000753,Accesorios,Equipos,865,Panel 16 Entradas,Articulo,"(x1) Entrada HDMI

(x12) Entrada BNC

(x3) Tapitas"
,,Antenna Replacement  (L),4,,0,1000756,Wireless Systems/Accesorios Wireless Systems,Equipos,866,Antenna Replacement  (L),Articulo,
,,Antenna Replacement (Flat Roja),1,,0,1000757,Wireless Systems/Accesorios Wireless Systems,Equipos,867,Antenna Replacement (Flat Roja),Articulo,
,,Power AC Teradek D-Tap -2 Pin Lemo,4,,0,1000758,Power/Alimentadores AC/Asignados,Equipos,868,Power AC Teradek D-Tap -2 Pin Lemo,Articulo,
,,Alimentador Atomos D-Tap - XLR,6,,0,1000759,Power/Alimentadores AC/Asignados,Equipos,869,Alimentador Atomos D-Tap - XLR,Articulo,
,,Ultra Arm Mini Monitor Wooden Camera,1,,0,1000765,Gripería/Accesorios Gripería,Equipos,875,Ultra Arm Mini Monitor Wooden Camera,Articulo,
,,Case Pelican 1170,2,,0,1000766,Maletas/Cases/Bultos/Cases,Equipos,876,Case Pelican 1170,Articulo,
,,Interface Video AJA HD/SD Distribution AMP,2,,0,1000767,Capture & Playback,Equipos,877,Interface Video AJA HD/SD Distribution AMP,Articulo,+Power (x1)
,,Plate Gold Mount,3,,0,1000768,Accesorios/Plates,Equipos,878,Plate Gold Mount,Articulo,
DMPD9285LM93,131,Tableta Apple iPad Mini 5th Generation WiFi,2,,0,1000769,Hardware/Tabletas,Equipos,879,Tableta Apple iPad Mini 5th Generation WiFi,case,
DMPD6M8LLM93,145,Tableta Apple iPad Mini 5th Generation WiFi,2,,0,1000769,Hardware/Tabletas,Equipos,879,Tableta Apple iPad Mini 5th Generation WiFi,case,
,,Pin 1/4-3/8,3,,0,1000770,Gastables,Equipos,880,Pin 1/4-3/8,Articulo,
,,Power AC Monitor Odyssey 7Q,2,,0,1000771,Power/Alimentadores AC/Asignados,Equipos,881,Power AC Monitor Odyssey 7Q,Articulo,
,,Radio Walkie Talkie Unidem,1,,0,1000772,Accesorios/Accesorios Audio,Equipos,882,Radio Walkie Talkie Unidem,Articulo,(un par)
X69X9X00153,130,Impresora Label Epson LW-PX400,2,LABEL,0,1000773,Accesorios/Impresoras,Equipos,883,Impresora Label Epson LW-PX400,case,+Power
X69X1100030,159,Impresora Label Epson LW-PX400,2,LABEL,0,1000773,Accesorios/Impresoras,Equipos,883,Impresora Label Epson LW-PX400,case,+Power
,,Cable Video BNC 100ft,12,03 A,0,1000775,Cables/Cables Video,Equipos,884,Cable Video BNC 100ft,Articulo,
,,Estuche Innovativ,4,,0,1000776,Maletas/Cases/Bultos/Estuches,Equipos,885,Estuche Innovativ,Articulo,
,,Estuche Impermeable Ruedas Carro,4,,0,1000778,Movilidad/Carros/Accesorios Carros,Equipos,887,Estuche Impermeable Ruedas Carro,Articulo,
,,Hook Innovativ,1,,0,1000779,Movilidad/Carros/Accesorios Carros,Equipos,888,Hook Innovativ,Articulo,
,,Ventilador Wind Machine,2,,0,1000780,Accesorios,Equipos,889,Ventilador Wind Machine,Articulo,
,,Ventilador Nikkei,1,,0,1000781,Accesorios,Equipos,890,Ventilador Nikkei,Articulo,
,,Estuche de Alicates,1,,0,1000782,Accesorios/Herramientas,Equipos,891,Estuche de Alicates,Articulo,(x4) Alicates
,,Estuche Tensadores,1,,0,1000783,Accesorios/Herramientas,Equipos,892,Estuche Tensadores,Articulo,(x16) Tensadores 
TR48E2AX0589,186,Hub elGato,1,08 D,1,1000785,Accesorios/Accesorios Data,Equipos,894,Hub elGato,Articulo,+Power
,,Montura Monitor,1,,0,1000786,Monitores/Accesorios Monitores,Equipos,895,Montura Monitor,Articulo,
,,Capa Impermeable,5,,0,1000787,Accesorios,Equipos,896,Capa Impermeable,Articulo,
,,Estuche Plástico,10,,0,1000788,Maletas/Cases/Bultos/Estuches,Equipos,897,Estuche Plástico,Articulo,
,,Estuche Plástico Teradek,2,,0,1000789,Maletas/Cases/Bultos/Estuches,Equipos,898,Estuche Plástico Teradek,Articulo,
,,Base Atomos,2,,0,1000790,Monitores/Accesorios Monitores,Equipos,899,Base Atomos,Articulo,
,,Cable AC 2 Pin Lemo Teradek Bolt,2,,0,1000791,Power/Alimentadores AC/Asignados,Equipos,900,Cable AC 2 Pin Lemo Teradek Bolt,Articulo,
181009800245,157,Disco Duro G-Drive 1TB SSD,4,,0,1000795,Archiving/Hardrives,Equipos,904,Disco Duro G-Drive 1TB SSD,Articulo,
181364801794,158,Disco Duro G-Drive 1TB SSD,4,,0,1000795,Archiving/Hardrives,Equipos,904,Disco Duro G-Drive 1TB SSD,Articulo,
,,Estación de Carga Poweroni,1,,0,1000797,Power/Cargadores,Equipos,906,Estación de Carga Poweroni,Articulo,+(x5) Divisores Plásticos 
,,Carro Inovativ,1,,0,1000799,Movilidad/Carros,Equipos,907,Carro Inovativ,Articulo,
,,Carro  Maligner,1,,0,1000800,Movilidad/Carros,Equipos,908,Carro  Maligner,Articulo,
,,Tripode Combo Flashpoint FPLS7YL,3,,0,1000801,Gripería/Tripodes,Equipos,909,Tripode Combo Flashpoint FPLS7YL,Articulo,
,,UPS CyberPower 1500 AVR,1,,0,1000804,Power/UPS,Equipos,910,UPS CyberPower 1500 AVR,Articulo,
4B1703P24669,134,UPS APC 1500 XS,1,,0,1000805,Power/UPS,Equipos,911,UPS APC 1500 XS,Articulo,
MD240A2286,135,"Monitor Flanders AM240 24""",2,,0,1000807,Monitores,Equipos,912,"Monitor Flanders AM240 24""",Articulo,"Modelo : DM240

 "
MD240A00675,136,"Monitor Flanders AM240 24""",2,,0,1000807,Monitores,Equipos,912,"Monitor Flanders AM240 24""",Articulo,"Modelo : DM240

 "
K9A94SUM50A37,137,"Monitor Atomos Sumo 19""",4,,0,1000810,Monitores,Equipos,913,"Monitor Atomos Sumo 19""",Articulo,
K1A94SUM50M26,138,"Monitor Atomos Sumo 19""",4,,0,1000810,Monitores,Equipos,913,"Monitor Atomos Sumo 19""",Articulo,
K9A94SUM50B83,139,"Monitor Atomos Sumo 19""",4,,0,1000810,Monitores,Equipos,913,"Monitor Atomos Sumo 19""",Articulo,
K1194SUM50D13,173,"Monitor Atomos Sumo 19""",4,,0,1000810,Monitores,Equipos,913,"Monitor Atomos Sumo 19""",Articulo,
,,Case Rack SKB 6U,2,,0,1000819,Maletas/Cases/Bultos/Cases,Equipos,914,Case Rack SKB 6U,Articulo,
,,"Case Monitor ""SKB"" 6U +prof",1,,0,1000820,Maletas/Cases/Bultos/Cases,Equipos,915,"Case Monitor ""SKB"" 6U +prof",Articulo,
,,"Case Monitor ""SKB"" 4U",1,,0,1000821,Maletas/Cases/Bultos/Cases,Equipos,916,"Case Monitor ""SKB"" 4U",Articulo,
,,"Case Monitor ""SKB"" 3U",1,,0,1000822,Maletas/Cases/Bultos/Cases,Equipos,917,"Case Monitor ""SKB"" 3U",Articulo,
,,Cargador Pilas Regarcables RAYOVAC,1,,0,1000823,Power/Cargadores,Equipos,918,Cargador Pilas Regarcables RAYOVAC,Articulo,
,,Disco Duro LACIE Rugged Thunderbolt 2- Thunderbolt 3 500GB,3,,0,1000825,Archiving/Hardrives,Equipos,920,Disco Duro LACIE Rugged Thunderbolt 2- Thunderbolt 3 500GB,Articulo,
,,Caja Destornilladores JK-6089,5,,0,1000826,Accesorios/Herramientas,Equipos,921,Caja Destornilladores JK-6089,Articulo,
,,Sunhood FSI Solutions,2,,0,1000827,Monitores/Accesorios Monitores,Equipos,922,Sunhood FSI Solutions,Articulo,
,,Adaptador Adam 4X1 USBC,1,08 D,0,1000828,Accesorios/Accesorios Data,Equipos,923,Adaptador Adam 4X1 USBC,Articulo,
,,Bulto Hart Small,1,07 F,0,1000830,Maletas/Cases/Bultos/Bultos,Equipos,924,Bulto Hart Small,Articulo,
,,Adaptador USBC-USB 3.0,1,08 D,0,1000831,Accesorios/Accesorios Data,Equipos,925,Adaptador USBC-USB 3.0,Articulo,
,,"Case Macbook 15""",5,,0,1000832,Maletas/Cases/Bultos/Cases,Equipos,926,"Case Macbook 15""",Articulo,
HUJ715898N,146,Tape Drive LTO 6 HP Ultrium 6650,1,,1,1000833,Archiving/LTO,Equipos,927,Tape Drive LTO 6 HP Ultrium 6650,Articulo,
,210,Full Case Data / DIT Modulo E,1,07 C,0,1000900,Full Cases/Kits,Equipos,928,Full Case Data / DIT Modulo E,case,
,,Power AC Impresora Label Epson LW-600P,4,,0,1000836,Power/Alimentadores AC/Asignados,Equipos,929,Power AC Impresora Label Epson LW-600P,Articulo,
,,Power AC Cargador Pilas Recargables WATSON,4,,0,1000837,Power/Alimentadores AC/Asignados,Equipos,930,Power AC Cargador Pilas Recargables WATSON,Articulo,
1330002024,208,Lector Dock Voyager Q,1,,1,1000838,Lectores,Equipos,931,Lector Dock Voyager Q,Articulo,
,,Power AC Lector Dock Voyager Q,1,,0,1000839,Power/Alimentadores AC/Asignados,Equipos,932,Power AC Lector Dock Voyager Q,Articulo,
,,Bag It (S),1,,0,1000840,Accesorios,Equipos,933,Bag It (S),Articulo,
,,Bag It (M),1,,0,1000841,Accesorios,Equipos,934,Bag It (M),Articulo,
,,Lonas Plásticas,4,,0,1000842,Accesorios,Equipos,935,Lonas Plásticas,Articulo,
,,Power AC Macbook Pro MagSafe 2,3,,0,1000843,Power/Alimentadores AC/Asignados,Equipos,936,Power AC Macbook Pro MagSafe 2,Articulo,
